RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;1202;;;AAST;64001;64;75;12404;;1846;64460;0
0;1217;;;ABANCOURT;59001;59;32;1;;1911;59268;0
0;2554;;;ABANCOURT;60001;60;32;1;;152;60220;0
0;2629;;;ABBECOURT;60002;60;32;1;;703;60430;0
0;2931;;;ABBECOURT;2001;2;32;1;;1143;2300;0
0;1;;;ABBEVILLE;80001;80;32;1;;;80100;0
0;3488;;;ABBEVILLE ST LUCIEN;60003;60;32;1;;;60480;0
0;1593;;;ABLAIN ST NAZAIRE;62001;62;32;1;;1215;62153;0
0;985;;;ABLAINCOURT PRESSOIR;80002;80;32;1;;1227;80320;0
0;1082;;;ABLIS;78003;78;11;1;;1075;78660;0
0;1296;;;ABSCON;59002;59;32;1;;1022;59215;0
0;1723;;;ACHERES;78005;78;11;1;;1551;78260;0
0;971;;;ACHEUX EN AMIENOIS;80003;80;32;1;;931;80560;0
0;2173;;;ACHEUX EN VIMEU;80004;80;32;1;;480;80210;0
0;2255;;;ACHEVILLE;62003;62;32;1;;26;62320;0
0;2;;;ACHICOURT;62004;62;32;1;;1882;62217;0
0;3179;;;ACHIET LE GRAND;62005;62;32;1;;380;62121;0
0;1700;;;ACHIET LE PETIT;62006;62;32;1;;380;62121;0
0;2661;;;ACHY;60004;60;32;1;;152;60690;0
0;2209;;;ACQUIN WESTBECOURT;62008;62;32;1;;340;62380;0
0;1800;;;ACY;2003;2;32;1;;1563;2200;0
0;2705;;;ADINFER;62009;62;32;1;;1516;62116;0
0;2191;;;AGENVILLE;80005;80;32;1;;1850;80370;0
0;1671;;;AGENVILLERS;80006;80;32;1;;1559;80150;0
0;3;;;AGNETZ;60007;60;32;1;;1058;60600;0
0;1262;;;AGNEZ LES DUISANS;62011;62;32;1;;1516;62161;0
0;2597;;;AGNY;62013;62;32;1;;1882;62217;0
0;3480;;;AIBES;59003;59;32;1;;;59149;0
0;4;;;AIGNE;72001;72;52;1;;235;72650;0
0;966;;;AIGNEVILLE;80008;80;32;1;;767;80210;0
0;1024;;;AILLY LE HAUT CLOCHER;80009;80;32;1;;1307;80690;0
0;5;;;AILLY SUR NOYE;80010;80;32;1;;825;80250;0
0;6;;;AILLY SUR SOMME;80011;80;32;1;;563;80470;0
0;7;;;AIRAINES;80013;80;32;1;;563;80270;0
0;1375;;;AIRE SUR LA LYS;62014;62;32;1;;1624;62120;0
0;2210;;;AIRION;60008;60;32;1;;1403;60600;0
0;1560;;;AIX;59004;59;32;1;;1139;59310;0
0;1611;;;AIX EN PROVENCE;13001;13;93;1;;;13080;0
0;2756;;;AIX EN PROVENCE;13001;13;93;1;;;13100;0
0;1853;;;AIX NOULETTE;62019;62;32;1;;1215;62160;0
0;3326;;;AJACCIO;2A004;2A;94;1;;;20000;0
0;1342;;;ALAINCOURT;2009;2;32;1;;484;2240;0
0;8;;;ALBERT;80016;80;32;1;;931;80300;0
0;2578;;;ALBERTVILLE;73011;73;84;1;;;73200;0
0;2598;;;ALBI;81004;81;76;1;;;81000;0
0;2398;;;ALEMBON;62020;62;32;1;;500;62850;0
0;3059;;;ALENCON;61001;61;28;1;;;61000;0
0;2275;;;ALES;30007;30;76;1;;;30100;0
0;9;;;ALETTE;62021;62;32;1;;340;62650;0
0;10;;;ALFORTVILLE;94002;94;11;1;;1092;94140;0
0;2655;;;ALLAINES;80017;80;32;1;;225;80200;0
0;2972;;;ALLAS CHAMPAGNE;17006;17;75;1;;1351;17500;0
0;3271;;;ALLENAY;80018;80;32;1;;1123;80130;0
0;2377;;;ALLENJOIE;25011;25;27;1;;719;25490;0
0;1587;;;ALLENNES LES MARAIS;59005;59;32;1;;8;59251;0
0;2553;;;ALLERY;80019;80;32;1;;767;80270;0
0;2835;;;ALLINGES;74005;74;84;1;;1495;74200;0
0;11;;;ALLONNE;60009;60;32;1;;797;60000;0
0;12;;;ALLONVILLE;80020;80;32;1;;214;80260;0
0;2562;;;ALLOUAGNE;62023;62;32;1;;1681;62157;0
0;13;;;ALLOUVILLE BELLEFOSSE;76001;76;28;1;;981;76190;0
0;3145;;;ALQUINES;62024;62;32;1;;340;62850;0
0;2383;;;ALTENACH;68002;68;44;1;;140;68210;0
0;2350;;;ALTKIRCH;68004;68;44;1;;960;68130;0
0;3086;;;AMAYE SUR ORNE;14006;14;28;1;;1489;14210;0
0;14;;;AMBLAINVILLE;60010;60;32;1;;1229;60110;0
0;1729;;;AMBLENY;2011;2;32;1;;1033;2290;0
0;2816;;;AMBLETEUSE;62025;62;32;1;;1006;62164;0
0;2273;;;AMBOISE;37003;37;24;1;;890;37400;0
0;2939;;;AMBRICOURT;62026;62;32;1;;1268;62310;0
0;1608;;;AMBRUMESNIL;76004;76;28;1;;204;76550;0
0;1379;;;AMFREVILLE ST AMAND;27011;27;28;1;;80;27370;0
0;1558;;;AMFROIPRET;59006;59;32;1;;1701;59144;0
0;2192;;;AMIENS;80021;80;32;1;;;80025;0
0;15;;;AMIENS;80021;80;32;1;;;80000;0
0;16;;;AMIENS;80021;80;32;1;;;80080;0
0;17;;;AMIENS;80021;80;32;1;;;80090;0
0;3591;;;AMIFONTAINE;2013;2;32;1;;;2190;0
0;18;;;AMILLY;45004;45;24;1;;70;45200;0
0;3367;;;AMMERSCHWIHR;68005;68;44;1;;1406;68770;0
0;1838;;;AMPLEPUIS;69006;69;84;1;;1630;69550;0
0;3503;;;AMPLIER;62030;62;32;1;;;62760;0
0;19;;;AMY;60011;60;32;1;;1415;60310;0
0;3332;;;ANCENIS;44003;44;52;1;;1057;44150;0
0;3631;;;ANCOURT;76008;76;28;1;;;76370;0
0;1656;;;ANDAINVILLE;80022;80;32;1;;575;80140;0
0;20;;;ANDECHY;80023;80;32;1;;941;80700;0
0;1039;;;ANDEVILLE;60012;60;32;1;;1229;60570;0
0;2836;;;ANDRES;62031;62;32;1;;500;62340;0
0;21;;;ANDRESY;78015;78;11;1;;1256;78570;0
0;22;;;ANDREZIEUX BOUTHEON;42005;42;84;1;;177;42160;0
0;1250;;;ANGERS;49007;49;52;1;;;49000;0
0;3539;;;ANGERS;49007;49;52;1;;;49100;0
0;2084;;;ANGERVILLE LA CAMPAGNE;27017;27;28;1;;1702;27930;0
0;23;;;ANGERVILLE LA MARTEL;76013;76;28;1;;504;76540;0
0;1659;;;ANGICOURT;60013;60;32;1;;1754;60940;0
0;1521;;;ANGIVILLERS;60014;60;32;1;;1403;60130;0
0;1590;;;ANGRES;62032;62;32;1;;1215;62143;0
0;24;;;ANGY;60015;60;32;1;;1129;60250;0
0;3602;;;ANHIERS;59007;59;32;1;;;59194;0
0;1280;;;ANICHE;59008;59;32;1;;1073;59580;0
0;3209;;;ANIZY LE CHATEAU;2018;2;32;1;;1252;2320;0
0;2075;;;ANJOU;38009;38;84;1;;1862;38150;0
0;2907;;;ANNAY;62033;62;32;1;;1465;62880;0
0;3565;;;ANNECY;74010;74;84;1;;;74940;0
0;25;;;ANNECY;74010;74;84;1;;374;74000;0
0;1645;;;ANNEMASSE;74012;74;84;1;;114;74100;0
0;1286;;;ANNEQUIN;62034;62;32;1;;1376;62149;0
0;3017;;;ANNEUX;59010;59;32;1;;1911;59400;0
0;1713;;;ANNEZIN;62035;62;32;1;;1324;62232;0
0;1358;;;ANNOEULLIN;59011;59;32;1;;8;59112;0
0;1294;;;ANOR;59012;59;32;1;;1287;59186;0
0;1643;;;ANSACQ;60016;60;32;1;;1129;60250;0
0;1884;;;ANSAUVILLERS;60017;60;32;1;;1403;60120;0
0;1878;;;ANTHELUPT;54020;54;44;1;;1776;54110;0
0;3162;;;ANTHEUIL PORTES;60019;60;32;1;;512;60162;0
0;1594;;;ANTIBES;6004;6;93;1;;;6160;0
0;1730;;;ANTILLY;60020;60;32;1;;772;60620;0
0;1134;;;ANTONY;92002;92;11;1;;193;92160;0
0;2860;;;ANVIN;62036;62;32;1;;1209;62134;0
0;1444;;;ANZIN;59014;59;32;1;;365;59410;0
0;26;;;ANZIN ST AUBIN;62037;62;32;1;;531;62223;0
0;947;;;APPILLY;60021;60;32;1;;1494;60400;0
0;3376;;;ARCACHON;33009;33;75;1;;1090;33120;0
0;27;;;ARCUEIL;94003;94;11;1;;736;94110;0
0;2548;;;ARDRES;62038;62;32;1;;500;62610;0
0;1926;;;AREINES;41003;41;24;1;;1926;41100;0
0;2738;;;ARGENTAN;61006;61;28;1;;;61200;0
0;28;;;ARGENTEUIL;95018;95;11;1;;;95100;0
0;2455;;;ARGOEUVES;80024;80;32;1;;563;80470;0
0;1689;;;ARGOULES;80025;80;32;1;;1307;80120;0
0;2678;;;ARLES;13004;13;93;1;;794;13200;0
0;1694;;;ARLEUX;59015;59;32;1;;1073;59151;0
0;2791;;;ARLEUX EN GOHELLE;62039;62;32;1;;1942;62580;0
0;29;;;ARMANCOURT;60023;60;32;1;;1787;60880;0
0;1859;;;ARMBOUTS CAPPEL;59016;59;32;1;;1747;59380;0
0;1151;;;ARMENTIERES;59017;59;32;1;;1344;59280;0
0;1319;;;ARMENTIERES EN BRIE;77008;77;11;1;;982;77440;0
0;30;;;ARNAGE;72008;72;52;1;;845;72230;0
0;1318;;;ARNAUD GUILHEM;31018;31;76;1;;354;31360;0
0;2153;;;ARNEKE;59018;59;32;1;;476;59285;0
0;3217;;;ARNOUVILLE;95019;95;11;1;;1985;95400;0
0;2997;;;ARPAJON;91021;91;11;1;;1994;91290;0
0;31;;;ARQUES;62040;62;32;1;;696;62510;0
0;32;;;ARQUES LA BATAILLE;76026;76;28;1;;1074;76880;0
0;33;;;ARRAS;62041;62;32;1;;;62000;0
0;3280;;;ARRY;80030;80;32;1;;1307;80120;0
0;1480;;;ARSY;60024;60;32;1;;512;60190;0
0;1435;;;ARTALENS SOUIN;65036;65;76;1;;765;65400;0
0;1862;;;ARTRES;59019;59;32;1;;614;59269;0
0;2165;;;ARVILLERS;80031;80;32;1;;860;80910;0
0;1055;;;ASNIERES SUR OISE;95026;95;11;1;;899;95270;0
